CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"9063","RSTD 260","1R","The Vision of Buddhism","3","  AIGM","Lec","MWF","1200-1250","MCM 212","Thompson, John","0","Closed",
"9233","RSTD 265","1","The Vision of Judaism","3","  AIWT","Lec","TR","1800-1915","MCM 160","Freund, Richard","5","Open",
"9064","RSTD 270","1R","The Vision of Islam","3","  AIGM","Lec","MWF","1000-1050","MCM 114","Timani, Hussam","7","Open",
"9065","RSTD 330","1","Christian Prayr &amp; Spirituality","3","  AIWT","Lec","TR","1500-1615","MCM 307","Gardner, Patrick","7","Open",
"9066","RSTD 362","1","New Testament","3","  AIWT","Lec","TR","0930-1045","MCM 200B","Strehle, Stephen","8","Open",
"9067","RSTD 491","1","Practicum/Internship","1 - 3","","Pra","","","ARR ","Redick, Kip","0","Closed",
"9443","RSTD 499","1","IND ST:Theology of Ministry","3","","Ind","","","ARR ","Gardner, Patrick","0","Closed",
"9402","SA 300","S01","SA:AIFS Rome","0","","Lec","","","ARR ","","0","Closed",
"9404","SA 300","S03","SA:CNU in Scotland","0","","Lec","","","ARR ","","0","Closed",
"9405","SA 300","S04","SA:CEA French Riviera","0","","Lec","","","ARR ","","0","Closed",
"9406","SA 300","S05","SA:DIS Study Abroad","0","","Lec","","","ARR ","","0","Closed",
"9407","SA 300","S06","SA:Florence Uni of the Arts","0","","Lec","","","ARR ","","0","Closed",
"9408","SA 300","S07","SA:Florence Uni of the Arts","0","","Lec","","","ARR ","","0","Closed",
"9409","SA 300","S08","SA:ISA Bangkok","0","","Lec","","","ARR ","","0","Closed",
"9410","SA 300","S09","SA:ISA Gold Coast","0","","Lec","","","ARR ","","0","Closed",
"9411","SA 300","S10","SA:ISA Granada","0","","Lec","","","ARR ","","0","Closed",
"9412","SA 300","S11","SA:ISA La Trobe","0","","Lec","","","ARR ","","0","Closed",
"9413","SA 300","S12","SA:ISA Seville","0","","Lec","","","ARR ","","0","Closed",
"9414","SA 300","S13","SA:John Cabot University","0","","Lec","","","ARR ","","0","Closed",
"9415","SA 300","S14","SA:TEAN South Korea","0","","Lec","","","ARR ","","0","Closed",
"9416","SA 300","S15","SA:UVA Valence","0","","Lec","","","ARR ","","0","Closed",
"9460","SA 300","S16","SA: ISA Otago","0","","Lec","","","ARR ","","0","Closed",
"9461","SA 300","S17","SA:IAU College","0","","Lec","","","ARR ","","0","Closed",
"9462","SA 300","S18","SA:CEA Alicante","0","","Lec","","","ARR ","","0","Closed",
"9432","SAXO 133","1","Applied Music: Saxophone","2","","Lab","","","ARR ","Fatek, David","0","Closed",
"9360","SAXO 231","1","Applied Music: Saxophone","1","","Lab","","","ARR ","Fatek, David","0","Closed",
"9361","SAXO 331","1","Applied Music: Saxophone","1","","Lab","","","ARR ","Fatek, David","0","Closed",
"9386","SOCL 201","1F","Globalization and Society","3","  AIGM","Lec","MWF","1500-1550","LUTR 167","Loy, Christopher","2","Open",
"8466","SOCL 201","1M","Globalization and Society","3","  AIGM","Lec","TR","1100-1215","LUTR 170","Docka-Filipek, Danielle","3","Open",
"9346","SOCL 201","2M","Globalization and Society","3","  AIGM","Lec","MWF","1200-1250","LUTR 142","Garcia Sarduy, Yulia","1","Open",
"8468","SOCL 205","2R","Sociological Foundations","3","","Lec","TR","1330-1445","MCM 101","Keener, Steven","1","Open",
"8469","SOCL 205","3M","Sociological Foundations","3","","Lec","TR","1100-1215","LUTR 167","Waldron, Linda","2","Open",
"8471","SOCL 301","2","WI:  Sociological Theory","3","  WI","Lec","TR","1500-1615","MCM 200B","Lewis, Michael","4","Open",
"8472","SOCL 303","1","The Family in Transition","3","","Lec","TR","1500-1615","LUTR 167","Docka-Filipek, Danielle","1","Open",
"8473","SOCL 303","2","The Family in Transition","3","","Lec","TR","1630-1745","LUTR 167","Docka-Filipek, Danielle","2","Open",
"8474","SOCL 304","1","Socialization and Society","3","","Lec","MWF","1200-1250","LUTR 170","Baird, Andrew","0","Closed",
"8475","SOCL 304","2","Socialization and Society","3","","Lec","MWF","1300-1350","LUTR 170","Baird, Andrew","0","Closed",
"8477","SOCL 314","1","Education, Culture and Society","3","","Lec","TR","1630-1745","LUTR 157","Baird, Andrew","1","Open",
"8478","SOCL 314","2","Education, Culture and Society","3","","Lec","TR","1630-1745","LUTR 139","Rochmes, Jane","4","Open",
"8479","SOCL 314","3","Education, Culture and Society","3","","Lec","MWF","0900-0950","MCM 316","Dick-Mosher, Jennifer","4","Open",
"8480","SOCL 314","4","Education, Culture and Society","3","","Lec","MWF","1000-1050","MCM 316","Dick-Mosher, Jennifer","0","Closed",
"8481","SOCL 314L","1","Educ, Culture and Society Lab","1","","Lab","M","1100-1215","MCM 207","Powell, Linda","2","Open",
