CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8718","PHIL 308","1","Philosophy of Religion","3","","Lec","TR","1330-1445","MCM 200D","Gardner, Patrick","18","Open",
"8721","PHIL 312","1","American Philosophy","3","","Lec","MWF","1100-1150","MCM 364","Balay, Joey","18","Open",
"8723","PHIL 315","1","Philosophy of Gender","3","","Lec","MWF","0900-0950","MCM 216","Hutchinson, Dawn","18","Open",
"8725","PHIL 321","1","WI:Legal Reasoning","3","  WI","Lec","R","1800-2045","MCM 160","Atkins, Justin","18","Open",
"9213","PHIL 337","1","Radical Evil &amp; Phil of Law","3","","Lec","TR","0930-1045","TRIB 1213","Underwood, Lori; Hutchinson, Dawn","18","Open",
"8727","PHIL 348","1","Asian Philosophy","3","","Lec","MWF","1200-1250","MCM 200B","Thompson, John","18","Open",
"8729","PHIL 384","1","Medical Ethics","3","  AIWT","Lec","MW","1600-1715","MCM 307","Tweedt, Christopher","18","Open",
"8731","PHIL 425","1","Constitutional Theory","3","","Lec","MWF","1400-1450","MCM 212","Silverman, Eric","18","Open",
"8733","PHIL 451","1","The Great Philosophers","3","","Lec","TR","1100-1215","MCM 200D","Balay, Joey","18","Open",
"8734","PHIL 490","1","WI: Senior Seminar","3","  WI","Lec","MWF","1300-1350","TRIB 1213","Hutchinson, Dawn","18","Open",
"8248","PHYS 105L","1","Elementary Physics Lab","1","  AINW","Lab","R","1330-1615","LUTR 301","Staff, CNU","33","Open",
"8249","PHYS 105L","2","Elementary Physics Lab","1","  AINW","Lab","R","1800-2045","LUTR 301","Staff, CNU","33","Open",
"8250","PHYS 105L","3","Elementary Physics Lab","1","  AINW","Lab","W","1800-2045","LUTR 301","Staff, CNU","33","Open",
"8251","PHYS 141","1","How Things Work","3","  AINW","Lec","TR","1500-1615","LUTR 269","Cole, Leon","44","Open",
"8252","PHYS 141","2","How Things Work","3","  AINW","Lec","TR","1800-1915","LUTR 269","Cole, Leon","44","Open",
"8255","PHYS 151","1","College Physics I","3","  AINW","Lec","TR","1100-1215","LUTR 269","Cole, Leon","39","Open",
"8256","PHYS 151L","1","College Physics I Laboratory","1","  AINW","Lab","M","1800-2045","LUTR 310","Staff, CNU","33","Open",
"8010","PHYS 152","1","College Physics II","3","  AINW","Lec","TR","0930-1045","LUTR 121","Fisher, Ryan","95","Open",
"8011","PHYS 152","2","College Physics II","3","  AINW","Lec","TR","1100-1215","MCM 114","Gore, David","49","Open",
"8012","PHYS 152","3","College Physics II","3","  AINW","Lec","TR","1630-1745","LUTR 121","Gerousis, Costa","49","Open",
"8257","PHYS 152L","1","College Physics II Laboratory","1","  AINW","Lab","M","0900-1145","LUTR 306","Staff, CNU","33","Open",
